id,type,profit,carbon,energy,failedP,unsatprops,inferences,time,numIntents,size,rate
2,"multiDips_3_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",6.477846302447933,0.29888143354204655,0.5705607565397339,2,"[[], [], [], [], []]",110686,0.030956,5,5,0.2
2,"multiDips_3_(0, 0, 100)",8.054079596829446,0.18145736529945977,0.660265909945263,1,"[[], [], [], [], []]",164389,0.040205,5,5,0.2
3,"multiDips_1_(100, 0, 0)",8.068605502729117,0.22119164410519154,0.6726272616657274,1,"[[], [], [], [], []]",104593,0.028649,5,5,0.2
3,"multiDips_1_(0, 0, 100)",8.058235406836621,0.19236299827895886,0.6597939368534004,1,"[[], [], [], [], []]",98478,0.028223,5,5,0.2
3,"multiDips_1_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",8.061741806489563,0.2054978372728285,0.6717805872615181,1,"[[], [], [], [], []]",98349,0.027522,5,5,0.2
3,MILP,10.162208856938445,0.29191824474382055,0.9787627066899365,0,-,0,0.093938,5,5,0.2
3,"multiDips_2_(0, 100, 0)",7.702749074102442,0.16674030116884192,0.7325333078291194,1,"[[], [], [], [], []]",95963,0.02764,5,5,0.2
3,"multiDips_3_(100, 0, 0)",4.841673707831543,0.28327069203130756,0.48501180474775174,3,"[[], [], [], [], []]",113006,0.030849,5,5,0.2
3,"multiDips_1_(0, 100, 0)",8.05265640008048,0.1821137929390652,0.6654149683381644,1,"[[], [], [], [], []]",98772,0.028002,5,5,0.2
3,"multiDips_2_(100, 0, 0)",6.154442132599636,0.3474818057418349,0.642107966318817,2,"[[], [], [], [], []]",96155,0.028284,5,5,0.2
3,"multiDips_3_(0, 100, 0)",6.4349385437675215,0.21134949213334892,0.5810277393353853,2,"[[], [], [], [], []]",177295,0.03953,5,5,0.2
3,"multiDips_3_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",4.841673707831543,0.28327069203130756,0.48501180474775174,3,"[[], [], [], [], []]",112895,0.030249,5,5,0.2
